examen_id,intrebare_text,varianta_a,varianta_b,varianta_c,raspuns_corect
"1","Schema echivalentă de calcul în cazul producerii unui scurtcircuit între două faze ale unei reţele izolat de pământ şi fără arc electric se compune din:","schema de secvenţă directă (pozitivă) înseriată cu triplul impedanţei arcului","schemele de secvenţă directă (pozitivă) şi inversă (negativă) conectate în paralel","schemele de secvenţă directă (pozitivă), inversă (negativă) şi homopolară (zero) conectate în paralel","b"
"1","Schema echivalentă de calcul în cazul producerii unui scurtcircuit trifazat, al unei reţele, izolat de pământ se compune din:","schemele de secvenţă directă (pozitivă) , inversă (negativă) şi homopolară (zero) conectate în serie","schema de secvenţă directă (pozitivă)","schemele de secvenţă directă (pozitivă) şi inversă (negativă) conectate în paralel","b"
"1","Schema echivalentă de calcul în cazul producerii unui scurtcircuit trifazat şi la pământ, cu arc, se compune din:","schema de secvenţă directă (pozitivă) înseriată cu triplul impedanţei arcului","schema de secvenţă directă (pozitivă)","schema de secvenţă directă (pozitivă) înseriată cu schema de secvenţă inversă (negativă).","b"
"1","Transformatoarele de măsură se folosesc","în instalaţiile de curent alternativ de înaltă tensiune","în instalaţiile de curent alternativ de joasă tensiune","în instalaţiile de curent continuu de înaltă şi joasă tensiune","a"
"1","Scopul normării distanţelor de izolare în aer minime admisibile pentru instalaţiile electrice este asigurarea:","protecţiei personalului de exploatare a instalaţiei;","siguranţei în funcţionare a instalaţiei, prin reducerea numărului de defecte în instalaţie;","realizării unei economii de teren.","b"
"1","Susceptanţa unui circuit de curent alternativ sinusoidal este inversul:","impedanţei","rezistenţei","reactanţei","c"
"1","Transformatoarele de măsurare de curent:","pot fi racordate în circuitul primar cu înfăşurarea secundara deschisa","pot fi lăsate în exploatare cu înfăşurarea secundara deschisa","nu pot fi racordate in circuitul primar cu înfăşurarea secundara deschisa","c"
"1","Secţionarea barelor colectoare ale unei staţii electrice conduce la:","mărirea continuităţii în alimentare a consumatorilor racordaţi la bare;","limitarea curenţilor de scurtcircuit pe barele respective, dacă alimentarea staţiei se face printr-un singur transformator;","limitarea curenţilor de scurtcircuit pe barele respective, dacă alimentarea staţiei se face prin două transformatoare sau printr-un transformator cu înfăşurare divizată.","a"
"1","Secţionarea barelor colectoare în staţiile electrice are scopul:","de limitare a curenţilor de scurtcircuit","de a reduce costul instalaţiei","de a reduce pierderile de putere","a"
"1","Sensul puterii deformante într-un circuit format dintr-un generator care produce o undă sinusoidală şi o bobină cu miez de fier saturat este:","de la generator spre bobină","întotdeauna de la bobină spre generator","poate avea oricare sens, în funcţie de încărcarea generatorului","b"
"1","Separatorul, ca echipament în cadrul unei staţii electrice, are rolul:","de a proteja circuitul la supracurenţi","de a separa vizibil un circuit","de a măsură nivelul de izolaţie","b"
"1","Siguranţele electrice au rolul de a:","proteja instalaţia din aval la defecte la scurtcircuit ca si la suprasarcini de lunga durata","face trecerea din linie electrica aeriana în line electrica în cablu","asigura protecţia personalului","a"
"1","Siguranţele electrice sunt aparate electrice care împiedica:","creşterea tensiunii peste o valoare limita","creşterea curentului peste o valoare limita","scăderea curentului sub o valoare limita","b"
"1","Siguranţele fuzibile sunt aparate utilizate pentru protecţie la:","supratensiuni","supracurenţi","defect de izolaţie","b"
"1","Singurele mărimi fizice reale în curent alternativ sunt:","mărimile efective de curent sau de tensiune","mărimile instantanee de curent sau de tensiune","valorile medii de curent sau de tensiune","b"
"1","Sistemele simetrice de fazori în care se descompun sistemele de tensiuni sau de curenţi dezechilibraţi:","corespund unor realităţi fizice","reprezintă artificii de calcul","numai sistemul direct corespunde unei realităţi fizice","a"
"1","Sistemul de tensiuni al unei reţele racordate la un generator electric care produce tensiuni electromotoare simetrice:","este întotdeauna simetric","este nesimetric dacă fazele sunt neegal încărcate","este simetric dacă fazele sunt egal încărcate","c"
"1","Transformatoarele de măsurare de tensiune se construiesc pentru tensiuni în secundar de:","10 V","50 V","100 V","c"
"1","Suma forţelor electromotoare ale unui sistem trifazat simetric este:","egală cu 1","nulă","egală cu 1/2","b"
"1","Supratensiunile de trăsnet pot fi:","directe","induse","de rezonanta sau de ferorezonanţa","b"
"1","Un conductor în care circulaţia curentului electric nu se supune legii lui Ohm se numeşte:","liniar","neomogen","neliniar","c"
"1","Teoremele (formulele) Biot Savart Laplace se referă la:","intensitatea câmpului magnetic produs de un curent care circulă printr-un conductor","forţa electromagnetică","forţa exercitată între două conductoare paralele parcurse de curenţi","a"
"1","Tesla este unitatea de măsură a:","inducţiei magnetice","fluxului magnetic","intensităţii câmpului magnetic","a"
"1","Transformatoarele cu ulei prevăzute cu conservator prezintă următoarele caracteristici:","dilatarea lichidului este compensată prin deformarea elastică a pereţilor cuvei;","împiedică, dar nu elimină, pătrunderea umidităţii în interiorul rezervorului de expansiune;","asigură facilităţi în modul de dispunere a bornelor şi deci de racordare la reţea.","b"
"1","Transformatoarele de măsurare a curenţilor se construiesc pentru curenţi secundari de:","1 sau 5 A","5 sau 10 A","1 sau 10 A","a"
"1","Un motor electric trifazat legat în stea este în funcţiune si alimentat la 0,4 kV. Tensiunea între neutrul stelei si una dintre faze este:","0,4 kV","0 V","230 V","c"
"1","Un separator pe un circuit de înalta tensiune poate fi manevrat:","sub tensiune si cu curent","cu curent fara tensiune","fãrã curent, fãrã tensiune sau sub tensiune, fãrã curent","c"
"1","Transformatoarele de măsurare de tensiune:","nu pot fi lăsate în exploatare cu înfăşurarea secundara deschisa","nu pot fi lăsate în exploatare cu înfăşurarea secundara în scurtcircuit","pot fi puse sub tensiune cu înfăşurarea secundara in scurtcircuit","b"
"1","Un circuit de curent alternativ, pentru care factorul de putere este egal cu 1, este un circuit:","pur rezistiv","pur inductiv","pur capacitiv","a"
"1","Utilizarea unei cuple longo-transversale se preferă atunci când dorim:","scurtarea manevrelor;","o siguranţă în funcţionare mai mare;","reducerea investiţiei în echiparea staţiei.","b"
"1","Un corp conductor situat într-un câmp electric de intensitate E se încarcă cu electricitate:","prin conducţie","prin inducţie","prin magnetizare","b"
"1","Un întreruptor debroşabil asigură:","protecţia în caz de scurtcircuit;","protecţia la supratensiuni;","izolarea personalului care lucrează la întreruptor, de restul instalaţiei aflată sub tensiune.","c"
"1","Un întreruptor debroşabil asigură:","protecţia în caz de scurtcircuit;","comutaţia în regim normal;","protecţia la supratensiuni.","b"
"1","Un motor electric sincron, care funcţionează subexcitat:","absoarbe putere activă şi putere reactivă","absoarbe putere activă şi produce putere reactivă","produce putere activă şi putere reactivă","a"
"1","Valoarea conductivităţii electrice este în ordine crescătoare la următoarele materiale:","aluminiu, argint, cupru","argint, cupru, aluminiu","aluminiu, cupru, argint","c"
"1","Un număr de n surse având fiecare tensiunea electromotoare continua e si rezistenta interioara r, legate în paralel pot fi înlocuite printr-o sursa echivalenta având:","forţa electromotoare e si rezistenta r/n","forţa electromotoare ne si rezistentă r/n","forţa electromotoare e si rezistenta nr.","a"
"1","Un receptor electric de rezistenţă R conectat la bornele AB ale unui circuit de alimentare oarecare absoarbe puterea maximă dacă:","rezistenţa R este egală cu rezistenţa totală a circuitului văzută prin bornele AB","rezistenţa R este egală cu rezistenţa internă a sursei de tem","rezistenţa R tinde spre zero","a"
"1","Valoarea intensităţii câmpului electric produs de o sarcină electrică la distanţa r este:","direct proporţională cu r","direct proporţională cu pătratul lui r","invers proporţională cu pătratul lui r","c"
"1","Un transformator de măsurare de curent nu poate fi lăsat cu secundarul în gol, deoarece:","împiedica circulaţia curentului primar","apar supratensiuni periculoase in secundar","nu indica aparatele de măsurare","b"
"1","Unitatea de măsură a capacităţii unui condensator este:","F","Axh","A/h","a"
"1","Unitatea de măsură a fluxului electric este:","V/m","Coulombul","Faradul","b"
"1","Unitatea de măsură a fluxului magnetic este:","Tesla","Weber","Farad","b"
"1","Unitatea de măsură a frecvenţei mărimilor periodice se numeşte:","Weber","Hertz","Henry","b"
"1","Unitatea de măsură a sarcinii electrice este:","V/m","Coulomb","Farad","b"
"1","Unitatea de măsură ohm x mmp / m este pentru:","rezistivitate","greutate specifica","coeficient de dilataţie","a"
"1","Unitatea de măsură pentru măsurarea puterii active este:","kWh","kW","kW/h","b"
"1","Unitatea de măsură pentru puterea reactiva este:","kVAr","kVA","kW","a"
"1","Utilizarea întreruptoarelor debroşabile:","nu asigură eliminarea unor greşeli de manevră datorate separatoarelor;","asigură scurtarea duratei reviziilor la celule;","asigură izolarea personalului care lucrează la întreruptor, de restul instalaţiei aflată sub tensiune.","c"
"1","Autotransformatoarele sunt folosite între reţelele de:","110 kV şi 220 kV","220 kV şi 400 kV","20 kV şi 110 kV","b"
"1","Utilizarea întreruptoarelor debroşabile:","asigură eliminarea unor greşeli de manevră datorate separatoarelor;","nu asigură scurtarea duratei reviziilor la celule;","asigură izolarea personalului care lucrează la întreruptor, de restul instalaţiei aflată sub tensiune.","a"
"1","Utilizarea întreruptoarelor debroşabile:","asigură izolarea personalului care lucrează la întreruptor, de restul instalaţiei aflată sub tensiune.","asigură scurtarea duratei reviziilor la celule;","nu asigură eliminarea unor greşeli de manevră datorate separatoarelor;","b"
"1","Utilizarea întreruptorului debroşabil:","asigură compactarea celulei;","asigură rapiditate în restabilirea alimentării în cazul unei defectări;","creşte riscul de electrocutare a personalului care execută lucrări de revizie în celulă.","b"
"1","Utilizarea SF6 ca mediu de izolare conduce la realizarea unor celule:","cu pericol de incendiu","cu întreţinere mult simplificată;","compacte","c"
"1","Utilizarea SF6 ca mediu de stingere a arcului electric permite realizarea unor întreruptoare:","fără pericol de incendiu;","cu întreţinere mult simplificată;","puţin silenţioase.","b"
"1","Utilizarea vidului ca mediu de stingere a arcului electric:","reduce pericolul de incendiu;","reduce cheltuielile de întreţinere;","creşte masa şi gabaritul întreruptoarelor","a"
"1","Valoarea frecventei în sistemul electroenergetic este determinata în principal de:","bilanţul puterilor active","circulaţia puterii reactive","modul de tratare a neutrului reţelei","a"
"1","Valoarea medie a capacităţii lineice pentru o linie electrică aeriană trifazată este ......... faţă de cea a unui cablu subteran.","egală","mai mică","mai mare","b"
"1","Valoarea medie a inductanţei de serviciu pentru o linie electrică aeriană trifazată este ......... faţă de cea a unui cablu subteran.","egală","mai mare","mai mică","b"
"1","Valoarea medie pătratică a unei mărimi periodice se mai numeşte şi:","amplitudine","valoare efectivă","valoarea eficace","c"
"1","Sistem de măsurare inteligentă a energiei electrice este:","un sistem de măsurare a energiei electrice care permite transmiterea bidirecţională securizată a datelor de măsurare, în conformitate cu reglementările în vigoare","un sistem de măsurare a energiei electrice care permite transmiterea unidirecţională securizată a datelor de măsurare, în conformitate cu reglementările în vigoare","un sistem de măsurare a energiei electrice care permite înregistrarea şi stocarea multiplă a datelor, fără transmitere, cu posibilităţi de descărcare locală, utilizând exclusiv contoare electronice","a"
"1","Încadrarea punctelor de măsurare aferente locurilor de consum în una dintre categoriile A, B, C, se face în funcţie de:","energia electricã consumatã în ultimele 12 luni, pentru locurile de consum existente","puterea aprobată prin avizul tehnic de racordare / certificatul de racordare","energia electricã anualã contractatã, pentru locurile de consum noi","b"
"1","Operatorul de măsurare a energiei electrice pe piaţa angro de energie electrică din România:","este unic","este operatorul de transport şi de sistem prin structura internă distinctă OMEPA","poate fi oricare producător","b"
"1","În reţelele electrice trifazate, măsurarea energiei electrice se efectuează:","utilizând tensiunea şi curentul electric de pe toate cele trei faze","tensiunile şi curenţii de pe toate cele trei faze, la joasă, medie şi înaltă tensiune","În cazul reţelelor electrice trifazate care nu au neutrul legat direct la pământ, se admite măsurarea utilizând curentul electric de pe două faze şi tensiunea dintre faze.","b"
"1","Înfăşurările secundare ale transformatoarelor de curent şi tensiune pentru măsurare:","se utilizează exclusiv pentru conectarea contoarelor de decontare","se utilizează numai pentru conectarea contoarelor, inclusiv a celor martor.","se utilizează pentru conectarea tuturor aparatelor de măsurare, cu dimensionarea corespunzătoare a circuitelor","b"
"1","Puncte de măsurare de categoria C sunt cele:","utilizate pentru măsurarea energiei electrice tranzitate prin punctele de delimitare dintre reţeaua electrică de interes public şi instalaţiile de utilizare ale utilizatorilor racordaţi la medie sau joasă tensiune cu puterea aprobată mai mică sau egală cu 100 kW.","utilizate pentru măsurarea energiei electrice tranzitate prin punctele de delimitare dintre reţeaua electrică de interes public şi instalaţiile de utilizare ale utilizatorilor racordaţi la joasă tensiune cu puterea aprobată mai mică sau egală cu 100 kW.","utilizate pentru măsurarea energiei electrice tranzitate prin punctele de delimitare dintre reţeaua electrică de interes public şi instalaţiile de utilizare ale utilizatorilor racordaţi la joasă tensiune indiferent de puterea aprobată","b"
"1","Punctele de măsurare din subcategoria C3 sunt puncte de măsurare dotate cu grupuri de măsurare:","capabile să asigure date de măsurare la intervale de 60 de minute şi transmiterea bidirecţională a acestora la sistemul central de gestiune a datelor de măsurare la fiecare 24 de ore","capabile să asigure date de măsurare la intervale de 15 minute şi transmiterea bidirecţională a acestora la sistemul central de gestiune a datelor de măsurare la fiecare 15 minute","cu citire locală","c"
"1","Accesul la reţeaua electrica de interes public este definit ca fiind:","Obligaţia unor persoane fizice sau juridice de a se racorda, in condiţiile legii, la reţelele electrice de transport sau de distribuţie","Obligaţia unor persoane fizice sau juridice de a consuma energie electrica achiziţionata de pe piaţa de energie electrica in regim concurenţial","ansamblul de reguli prin care un terţ îşi exercită dreptul de a utiliza reţelele electrice de transport şi de distribuţie, în condiţiile legii;","c"
"1","ANRE este:","Agenţie naţională de reglementare în domeniul energiei termice","Autoritatea Naţionala de Reglementare pentru Serviciile Publice de Gospodărie Comunala","Autoritatea Naţionala de Reglementare in domeniul Energiei","c"
"1","Asupra terenurilor aflate in proprietatea terţilor, cuprinse in zonele de protecţie si de siguranţa ale capacităţilor energetice, se stabileşte pentru deţinătorul capacităţilor energetice:","drept de utilizare gratuită","drept de proprietate","drept de servitute legală","c"
"1","O persoană care deţinea în proprietate sau în folosinţă o reţea electrică de distribuţie proprie la data intrării în vigoare Legii nr,123/2012:","nu are obligaţii privind asigurarea accesului la reţea","este obligată să asigure accesul la reţea numai pentru producători de energie electrică din surse regenerabile","este obligată să asigure accesul la reţea, conform reglementărilor autorităţii competente","c"
"1","Clientul casnic este clientul care:","Utilizează energie electrică în exclusivitate pentru iluminatul artificial din propria locuinţă şi din afara acesteia, fiind racordat la o reţea electrică monofazată de joasă tensiune","Utilizează energie electrică pentru funcţionarea receptoarelor electrocasnice din propria locuinţa, precum si pentru realizarea de activităţi comerciale sau prestarea de servicii","cumpără energie electrică pentru propriul consum casnic, excluzând consumul pentru activităţi comerciale sau profesionale","c"
"1","Finanţarea lucrărilor de electrificare a localităţilor este obligaţia:","autorităţilor locale","ministerului de resort","operatorului de distribuţie în executarea contractului de concesiune","c"
"1","Furnizorul de energie electrică este îndreptăţit sã rezilieze contractul de furnizare a energiei electrice în caz de:","neplata abonamentului radio-tv","sustragerea de energie electrică constatată prin hotărâre judecătorească definitivă","neplata facturilor","b"
"1","Furnizorul de energie electrică este îndreptăţit sã rezilieze contractul de furnizare a energiei electrice numai în caz de:","consum de energie mai mare decât cel aferent puterii aprobate prin avizul tehnic de racordare","consumarea unei cantităţi de energie mai mare decât cea contractată","sustragerea de energie electrică constatată prin hotărâre judecătorească definitivă, neplata facturilor sau în alte situaţii prevăzute de legislaţia în vigoare.","c"
"1","În cazul constatării, conform prevederilor legale în vigoare, a unor acţiuni menite să sustragă energia electrică prin ocolirea echipamentelor de măsurare:","clientul final va fi sancţionat contravenţional","clientului final i se va rezilia contractul de furnizare","furnizorul este îndreptăţit să solicite unui client final constituirea de garanţii financiare pentru o perioadă de consum echivalent de maximum un an","c"
"1","Pe piaţa cu amănuntul, furnizorii vând energie electrică clienţilor finali prin:","Contracte bilaterale la preţuri reglementate","Contracte bilaterale la tarife fixe","contracte bilaterale, la preţuri negociate sau stabilite prin oferte-tip","c"
"1","Tarifele de racordare la reţea sunt:","stabilite de operatorii de reţea","negociate cu solicitantul","reglementate de ANRE","c"
"1","ANRE poate aplica sancţiuni contravenţionale în cazul în care un electrician :","deține adeverință de electrician autorizat și comite o faptă prevăzută în Regulamentul de autorizare ca fiind permisă","desfăşoară activităţi de realizare de instalații electrice, pe cont propriu, fără a deține adeverință de electrician autorizat","deține adeverință de electrician autorizat și desfăşoară activităţi de realizare de instalații electrice într-o formă care nu este prevăzută în regulamentul de autorizare","c"
"1","Autorizarea electricienilor în domeniul instalaţiilor electrice, respectiv a verificatorilor de proiecte şi a experţilor tehnici de calitate şi extrajudiciari în domeniul instalaţiilor electrice tehnologice se realizează","de către Ministerul învăţământului","de către operatorul de distribuţie","numai conform reglementărilor emise de ANRE","c"
"1","Electricianul autorizat pentru gradul III, tip A+B are următoarele competenţe:","De a proiecta şi executa instalaţii electrice cu orice putere instalată tehnic realizabilă şi la o tensiune nominală maximă de 110 kV","De a proiecta şi executa instalaţii electrice cu orice putere instalată tehnic realizabilă şi la o tensiune nominală maximă de 6 kV","De a proiecta şi executa instalaţii electrice cu orice putere instalată tehnic realizabilă şi la o tensiune nominală maximă de 20 kV",""
"1","ANRE - Autoritatea Naţională de Reglementare în domeniul Energiei este abilitată prin lege să constate şi să sancţioneze:","nerespectarea normelor tehnice emise de către ANRE;","încălcarea de către participanţii la piaţa de energie electrică a reglementărilor tehnice şi/sau comerciale emise de ANRE","încălcarea prevederilor legislaţiei muncii","b"
"1","Electricienii care doresc să solicite autorizarea, pentru a fi acceptaţi la examen trebuie să îndeplinească următoarele condiţii:","Să transmită la ANRE o cerere şi documentaţie anexată, din care să reiasă doar calificarea profesională","Să transmită la ANRE o cerere şi documentaţie anexată, din care să reiasă doar experienţa practică în domeniul instalaţiilor electrice","Să transmită la ANRE o cerere şi documentaţie anexată, din care să reiasă atât calificarea cât si experienţa profesională în domeniul instalaţiilor electrice","c"
"1","În cazul în care electricianul autorizat îşi pierde Legitimaţia/Adeverinţa de electrician autorizat, la solicitarea sa, ANRE poate emite un duplicat, dacă:","Legitimaţia/Adeverinţa de electrician autorizat este declarată nulă, într-un ziar local şi titularul achită tariful de autorizare aprobat","Legitimaţia/Adeverinţa de electrician autorizat este declarată nulă, într-un ziar local şi titularul achită o penalitate în cuantum de 200 RON indiferent de gradul şi tipul de autorizare","Legitimaţia/Adeverinţa de electrician autorizat este declarată nulă, într-un ziar local şi titularul achită un tarif de emitere a duplicatului, conform prevederilor din regulamentul de autorizare","c"
"1","Pentru a fi valabilă, adeverinţa de electrician autorizat","va fi prezentață ANRE pentru a fi vizată, la termenul prevăzut, după achitarea în prealabil a tariful de vizare, egal cu tariful de acordare a respectivului tip şi grad de autorizare","va fi prezentață ANRE pentru a fi vizată, la termenul prevăzut, după susținerea în prealabil a unui nou examen","va fi prezentață ANRE pentru a fi vizată, la termenul prevăzut, după achitarea în prealabil a tariful de vizare, diferit de tariful de acordare a respectivului tip şi grad de autorizare","c"
"1","Termenul de vizare a adeverinţei de electrician autorizat, de la data emiterii documentului sau, după caz, de la data ultimei vizări, este de","3 ani","4 ani","5 ani","c"
"1","Calitatea de autoritate contractantă pentru concesionarea bunurilor proprietate publică sau privată a statului din domeniul energetic, precum şi pentru activităţile sau serviciile publice de interes naţional și general din domeniul energiei electrice o are","Ministerul de resort","ANRE - Autoritatea Naţională de Reglementare în domeniul Energiei","ANRSC - Autoritatea Naţională de Reglementare in domeniul Serviciilor Comunale","a"
"1","Trecerea la un grad de autorizare superior se poate face:","după 5 ani de experienţă în baza gradului de autorizare deţinut","prin vizarea la termen de către ANRE a adeverinței de electrician autorizat","pe bază de examen","c"
"1","Pot face obiectul unei concesiuni energetice:","bunurile proprietate publică sau privată a statului","activităţile şi serviciile publice de interes naţional şi general din domeniul energiei electrice.","bunurile utilizate în activitatea de furnizare a energiei electrice","a"
"1","Constituie contravenţie:","refuzul clienţilor finali de a permite accesul la grupurile de măsurare","nerespectarea de către producători a obligaţiilor de producere şi/sau de ofertare conform prevederilor legale","sustragerea de energie electrica","a"
"1","Constituie infracţiune:","Executarea de săpături sau lucrări de orice fel in zonele de protecţie a instalaţiilor, fara consimţământul prealabil al proprietarului acestora","modificarea fără drept a componentelor instalaţiilor energetice","Nerespectarea reglementărilor emise de ANRE","b"
"1","Regulamentul pentru atestarea operatorilor economici care proiectează, execută şi verifică instalaţii electrice din sistemul electroenergetic este aprobat de către:","Guvernul României","Ministerul de resort","ANRE","c"
"1","Se recomandă includerea în subcategoria C3 a punctelor de măsurare ale utilizatorilor reţelelor electrice de interes public:","racordaţi la joasă tensiune, cu consum mediu anual mai mic sau egal cu 2.400 kWh/an şi mai mare de 1.200 kWh/an, respectiv producţie medie anuală mai mică sau egală cu 2.400 kWh/an;","racordaţi la joasă tensiune, cu consum mediu anual/producţie medie anuală mai mare de 2.400 kWh/an;","racordaţi la joasă tensiune, cu consum mediu anual mai mic sau egal cu 1.200 kWh/an.","c"
"1","Într-un sisten de producere distribuită -","centralele de producere a energiei electrice sunt conectate la reţeaua de distribuţie;","centralele de producere a energiei electrice sunt conectate la reţeaua de de transport","centralele de producere a energiei electrice sunt conectate la un sistem electroenergetic izolat","a"
"1","Codul tehnic al reţelelor electrice de distribuţie (Codul RED), reglementare ce este parte constitutivă a legislaţiei secundare, este aprobat de către:","Guvernul României","Ministerul Economiei şi Finanţelor","ANRE","c"
"1","Criteriile de promovare a energiei electrice produse in centrale electrice de cogenerare de înalta eficienta au in vedere:","Promovarea utilizării eficiente a combustibililor","asigurarea protecţiei mediului, prin reducerea emisiilor poluante faţă de producerea separată a energiei electrice şi termice","Promovarea utilizării surselor regenerabile","a"
"1","Codul tehnic al reţelelor electrice de distribuţie reglementează activitatea operatorilor de distribuţie:","la care acţionar principal este statul român","la care acţionar majoritar nu este statul român","tuturor operatorilor de distribuţie, indiferent de acţionarul majoritar","c"
"1","Obligaţiile de serviciu public pentru operatorii economici din sectorul energiei electrice se pot stabili:","în conformitate cu prevederile Legii serviciilor publice de gospodărire comunală","prin reglementări ale ANRE","prin hotărâre a Guvernului","b"
"1","Standardul de performanţă pentru serviciul de distribuţie a energiei electrice stabileşte indicatori de performanţă privind:","Evenimentele accidentale produse de terţi asupra reţelelor electrice din patrimoniul public","Debranşarea consumatorilor rău-platnici de la relele electrice de distribuţie","Întreruperile programate, pentru executarea lucrărilor de dezvoltare, retehnologizare şi mentenanţă","c"
"1","Furnizorul de energie electrică este îndreptăţit sã rezilieze contractul de furnizare a energiei electrice în caz de:","sustragerea de energie electrică constatată prin hotărâre judecătorească definitivă","racordare ilegală la reţeaua de distribuţie","neplata facturilor","a"
"1","Se integrează în sisteme de măsurare inteligentă punctele de măsurare din:","subcategoria C1","subcategoria C2","subcategoria C3","a"
"1","În conformitate cu prevederile legii nr.123/2012 sunt considerate surse regenerabile de energie:","energia solară","energia eoliană","Energia electrică obţinută prin arderea combustibililor fosili","b"
"1","Nerespectarea normelor tehnice emise de către ANRE constituie:","Infracţiune","Contravenţie","Abatere","b"
"1","Actualizarea avizului tehnic de racordare atunci când se produce schimbarea titularului locului de producere sau de consum","este obligatorie numai dacă se modifică puterea aprobată anterior prin avizul tehnic de racordare;","nu este obligatorie","este obligatorie","c"
"1","Energia electrică furnizată clienţilor finali pe piaţa de energie electrică şi energia electrică produsă în instalaţiile utilizatorilor se măsoară de către operatorii de măsurare, prin grupuri de măsurare, conform codului de măsurare elaborat de :","Ministerul de resort","ANRE - Autoritatea Naţională de Reglementare în domeniul Energiei","ANRSC - Autoritatea Naţională de Reglementare in domeniul Serviciilor Comunale","b"
"1","Operatorul de distribuţie:","Exploatează, retehnologizează, reabilitează si dezvolta reţelele electrice de distribuţie, cu respectarea reglementarilor tehnice in vigoare","Monitorizează siguranţa in funcţionare a reţelelor electrice de distribuţie, precum si indicatorii de performanta ai serviciului de distribuţie","Încasează contravaloarea energiei electrice furnizate","a"
"1","Operatorul de transport si de sistem este:","orice persoană fizică sau juridică ce deţine, sub orice titlu, o reţea electrică de transport şi care răspunde de operarea, asigurarea întreţinerii şi, dacă este necesar, de dezvoltarea reţelei de transport într-o anumită zonă","Orice persoana care deţine, sub orice titlu o reţea electrica de distribuţie si este titulara unei licenţe de distribuţie","Persoana juridică proprietară a reţelelor electrice de transport, pe care le exploatează in baza licenţei pentru furnizarea energiei electrice","c"
"1","În cazul existenţei mai multor puncte de delimitare, se consideră un singur loc de consum şi o singură instalaţie de utilizare dacă:","instalaţiile din aval aferente fiecărui punct de delimitare sunt legate electric între ele prin reţele ale operatorului de distribuţie;","dacă există un singur proprietar","instalaţiile din aval aferente fiecărui punct de delimitare sunt legate electric între ele prin reţele ale utilizatorului.","c"
"1","Pentru protejarea reţelelor electrice de distribuţie, persoanelor fizice si juridice:","li se interzice să efectueze construcţii de orice fel în zona de siguranţă a reţelelor electrice de distribuţie, fără avizul de amplasament al operatorului de distribuţie","li se interzice să limiteze sau să îngrădească, prin execuţia de împrejmuire, prin construcţii ori prin orice alt mod, accesul la instalaţii al operatorului de distribuţie","li se permite depozitarea de materiale pe culoarul de trecere si in zonele de protecţie si de siguranţa ale instalaţiilor, fara acordul operatorului de reţea, cu condiţia să fie proprietar al terenului","b"
"1","Printre obiectivele de baza ale Legii nr. 123/2012 se regăsesc:","asigurarea accesului nediscriminatoriu şi reglementat al tuturor participanţilor la piaţa de energie electrică şi la reţelele electrice de interes public a consumatorilor","promovarea utilizării surselor noi şi regenerabile de energie","Determinarea soluţiilor de racordare a utilizatorilor la reţelele electrice de interes public","a"
"1","Reţea electrică de interes public este o reţea electrică la care sunt racordaţi cel puţin:","3 utilizatori","2 utilizatori","un utilizator","b"
"1","Obţinerea avizului tehnic de racordare de către un utilizator:","nu este obligatorie pentru o durata mai mică de 6 luni","nu este obligatorie pentru o putere ceruta sub 100 kW","este obligatorie pentru orice loc de producere nou","c"
"1","Sursele staţionare de energie electrică în curent continuu, dacă nu sunt racordate prin invertoare la SEN, se supun supun dispoziţiilor Legii nr. 123/2012?","Da","Nu","Da, doar sub aspectul stabilirii preţului de vânzare e energiei electrice produse","b"
"1","Executarea sau folosirea de instalaţii clandestine în scopul racordării directe la reţea constituie:","contravenţie","infracţiune","contravenţie sau infracţiune, după caz","b"
"1","Avizul tehnic de racordare emis îşi încetează valabilitatea:","la încheierea contractului de racordare","în termen de 6 luni de la emitere, dacă nu a fost încheiat contractul de racordare;","în termen de 12 luni de la emitere, dacă nu a fost încheiat contractul de racordare;","c"
"1","În cazul unui ansamblu de blocuri de locuinţe, grupurile de măsurare individuale se poziţionează","pe tablourile din apartamente","centralizat, la limita zonei de proprietate asupra terenului, in exteriorul construcţiei","centralizat, la parter sau pe palier","c"
"1","Soluţia de racordare se stabileşte printr-o fişă de soluţie pentru:","utilizatorii perturbatori","utilizatorii de tip distribuitori, indiferent de tensiunea reţelei la care se racordează","locurile de consum care se racordează la reţele electrice de medie sau joasă tensiune, indiferent de puterea solicitată, dacă soluţia de racordare este unică şi/sau evidentă","c"
"1","Soluţia de racordare se stabileşte printr-un studiu de soluţie pentru:","locurile de consum având puterea maximă simultană absorbită mai mică de 30 kVA, indiferent de categoria din care fac parte din punct de vedere al activităţii lor","locurile de consum existente pentru care se solicită un spor de putere ce poate fi acordat prin instalaţiile de racordare existente, indiferent de tensiunea reţelei la care sunt racordate.","locurile de consum şi/sau de producere care, prin tipul lor şi caracteristicile echipamentelor instalaţiilor de utilizare şi/sau al proceselor tehnologice, impun necesitatea unei analize pentru stabilirea impactului racordării asupra reţelei şi a celorlalţi utilizatori şi stabilirea măsurilor pentru încadrarea acestui impact în limitele normate","c"
"1","Autoritatea Naţională de Reglementare în domeniul Energiei analizează şi soluţionează eventualele contestaţii cu privire la:","avizele tehnice de racordare","racordarea la reţelele electrice de interes public","calitatea execuţiei instalaţiilor interioare ale clădirilor civile","a"
